<TICKER>,<NAME>
49592.HK,SG#NQ100RC2512E
49593.HK,SG#NQ100RP2812L
49594.HK,SG#NQ100RP2812M
49595.HK,SG#S P RC2512C
49596.HK,SG#S P RC2512D
49597.HK,SG#DJIA RP2812F
49598.HK,SG#DJIA RP2812G
49599.HK,SG#S P RP2812E
496.HK,KASEN
49600.HK,BP#NQ100RC2412A
49602.HK,UB#DJIA RC2512B
49603.HK,UB#DJIA RC2512C
49604.HK,UB#DJIA RC2512D
49605.HK,UB#DJIA RC2512E
49606.HK,UB#DJIA RC2512F
49607.HK,UB#DJIA RC2509B
49608.HK,UB#DJIA RP2812C
49609.HK,UB#DJIA RP2812D
49610.HK,UB#DJIA RP2812E
49612.HK,UB#NQ100RC2509E
49613.HK,UB#NQ100RC2512B
49614.HK,UB#NQ100RC2512C
49615.HK,UB#NQ100RC2512D
49616.HK,UB#NQ100RP2812E
49617.HK,UB#NQ100RP2812F
49618.HK,UB#NQ100RP2812G
49619.HK,JP#DJIA RC2512B
49620.HK,JP#DJIA RC2512C
49621.HK,JP#NQ100RC2512C
49622.HK,JP#NQ100RP2712A
49623.HK,JP#S P RC2512B
49624.HK,JP#S P RP2712A
49625.HK,JP#DJIA RP2712A
49626.HK,JP#NQ100RP2712B
49627.HK,UB#DJIA RC2509C
49628.HK,UB#NQ100RC2509F
49629.HK,UB#NQ100RC2509G
49630.HK,UB#DJIA RC2512G
49631.HK,SG#S P RC2512E
49632.HK,SG#NQ100RC2512F
49633.HK,SG#NQ100RC2512G
49634.HK,SG#DJIA RC2512G
49635.HK,SG#DJIA RC2512H
49636.HK,MS#DJIA RP2603A
49638.HK,SG#S P RP2612A
49642.HK,JP#S P RC2512C
49643.HK,JP#DJIA RC2512D
49644.HK,JP#NQ100RC2512D
49658.HK,JP#DJIA RC2412A
49660.HK,JP#NQ100RC2412A
49663.HK,SG#NQ100RP2612C
49666.HK,UB#NQ100RP2612A
49668.HK,MS#S P RP2512D
49669.HK,SG#DJIA RC2412C
49676.HK,BP#NQ100RP2612B
49677.HK,BP#NQ100RP2612C
49680.HK,JP#NQ100RC2412C
49686.HK,HS#NQ100RP2612A
49688.HK,SG#NQ100RP2612G
49689.HK,SG#S P RC2412C
49690.HK,SG#S P RP2612C
49696.HK,SG#NQ100RC2412F
49698.HK,SG#NQ100RP2612J
49699.HK,SG#NQ100RP2612K
497.HK,CSI PROPERTIES
49705.HK,UB#NQ100RP2612D
49707.HK,JP#S P RP2612A
49720.HK,UB#NQ100RP2612E
49729.HK,BP#NQ100RP2612I
49730.HK,BP#NQ100RP2612J
49731.HK,HS#NQ100RP2612D
49732.HK,HS#NQ100RP2612E
49747.HK,SG#S P RP2612F
498.HK,BLUE RIVER HLDG
49801.HK,JP#NQ100RC2312B
49803.HK,UB#NQ100RP2412J
49804.HK,BP#NQ100RC2412O
49806.HK,SG#NQ100RP2612R
49807.HK,BP#NQ100RC2409C
49809.HK,UB#DJIA RP2612D
49810.HK,SG#NQ100RP2412Q
49812.HK,BP#NQ100RC2412R
49814.HK,JP#NQ100RC2312C
49817.HK,HS#NQ100RC2412H
49820.HK,UB#NQ100RP2412K
49826.HK,SG#S P RC2503B
49829.HK,SG#DJIA RC2503C
49834.HK,BP#NQ100RP2612U
49836.HK,SG#DJIA RP2412K
49839.HK,BP#NQ100RC2412W
49845.HK,JP#S P RC2503B
49846.HK,JP#DJIA RC2503A
49856.HK,UB#DJIA RP2612E
49857.HK,MS#S P RP2612B
49858.HK,MS#S P RC2503A
49860.HK,SG#DJIA RP2412L
49866.HK,UB#DJIA RP2612F
49868.HK,MS#NQ100RC2503F
49869.HK,JP#NQ100RP2412M
49871.HK,UB#NQ100RP2612L
49877.HK,SG#DJIA RP2612G
49878.HK,SG#DJIA RP2612H
49879.HK,SG#NQ100RC2503D
49880.HK,SG#NQ100RC2503E
49881.HK,UB#DJIA RP2612G
49882.HK,UB#DJIA RP2612H
49884.HK,JP#DJIA RP2603E
49885.HK,JP#DJIA RP2609A
49886.HK,JP#DJIA RP2609B
49888.HK,UB#DJIA RP2612I
49889.HK,SG#DJIA RP2612I
49890.HK,SG#S P RP2612I
49891.HK,SG#DJIA RP2612J
49893.HK,SG#DJIA RP2712A
49896.HK,UB#NQ100RC2506A
49898.HK,MS#DJIA RP2612C
49899.HK,MS#DJIA RP2612D
499.HK,QINGDAO HLDGS
49900.HK,MS#DJIA RC2506A
49901.HK,MS#NQ100RC2506A
49902.HK,MS#S P RP2612C
49904.HK,SG#S P RP2712A
49906.HK,HS#DJIA RP2612C
49908.HK,HS#DJIA RC2503A
49909.HK,UB#DJIA RP2612J
49911.HK,MS#S P RC2403C
49913.HK,HS#DJIA RP2612E
49914.HK,JP#DJIA RP2609C
49915.HK,JP#NQ100RP2612F
49916.HK,JP#DJIA RC2506A
49917.HK,JP#S P RP2612B
49918.HK,JP#NQ100RP2612G
49919.HK,JP#S P RC2506A
49921.HK,UB#DJIA RP2612K
49922.HK,BP#NQ100RP2612Z
49923.HK,BP#NQ100RC2503L
49926.HK,SG#DJIA RC2506B
49927.HK,SG#S P RP2712B
49928.HK,SG#NQ100RP2712A
49929.HK,SG#NQ100RP2712B
49930.HK,SG#DJIA RP2712B
49931.HK,SG#DJIA RP2712C
49932.HK,JP#DJIA RP2603F
49933.HK,JP#S P RC2503C
49934.HK,JP#S P RP2612C
49935.HK,JP#NQ100RP2612H
49936.HK,JP#NQ100RP2612I
49938.HK,JP#DJIA RC2503D
49939.HK,UB#NQ100RP2612M
49940.HK,HS#DJIA RP2612F
49941.HK,HS#DJIA RP2612G
49942.HK,HS#DJIA RP2612H
49944.HK,SG#DJIA RP2712D
49945.HK,SG#S P RP2712C
49947.HK,SG#NQ100RP2712C
49949.HK,UB#NQ100RP2612N
49950.HK,UB#DJIA RP2612L
49953.HK,BP#NQ100RP26121
49954.HK,BP#NQ100RP26122
49955.HK,BP#NQ100RC2503N
49956.HK,SG#NQ100RC2506D
49957.HK,SG#NQ100RP2712D
49958.HK,HS#NQ100RP2612H
49959.HK,JP#DJIA RP2412M
49960.HK,HS#NQ100RP2612J
49961.HK,SG#NQ100RP2712E
49963.HK,MS#NQ100RP2612F
49964.HK,MS#NQ100RP2612G
49965.HK,MS#S P RP2612D
49966.HK,UB#DJIA RP2412S
49968.HK,SG#DJIA RP2712E
49969.HK,UB#DJIA RP2712A
49977.HK,JP#NQ100RP2612K
49978.HK,UB#DJIA RP2612M
49979.HK,UB#DJIA RP2412U
49982.HK,SG#DJIA RC2406C
49983.HK,SG#S P RC2509A
49985.HK,SG#NQ100RC2509A
49986.HK,UB#NQ100RC2506C
49987.HK,JP#S P RP2412G
49988.HK,JP#S P RP2406C
49989.HK,MS#DJIA RP2412G
49990.HK,SG#DJIA RC2509B
49991.HK,SG#DJIA RC2509C
49992.HK,SG#NQ100RP2812A
49993.HK,HS#DJIA RC2509A
49994.HK,HS#DJIA RP2612I
49995.HK,SG#DJIA RP2506A
49996.HK,SG#S P RP2506A
49997.HK,BP#NQ100RP2812A
49998.HK,UB#DJIA RC2509A
49999.HK,UB#DJIA RP2612N
5.HK,HSBC HOLDINGS
50.HK,HK FERRY HOLD
500.HK,FRONTIER SER
505.HK,XINGYE ALLOY
506.HK,CHINA FOODS
508.HK,DINGYI GP INV
509.HK,SUNSHINE
51.HK,HARBOUR CENTRE
510.HK,CASH FIN SER GP
511.HK,TVB
512.HK,GRAND PHARMA
513.HK,CONTINENTAL H
515.HK,CHINASILVER TEC
517.HK,COSCO SHIP INTL
518.HK,TUNGTEX HOLD
519.HK,NOVAUTEK
52.HK,FAIRWOOD HOLD
520.HK,XIABUXIABU
521.HK,CWT INTL
522.HK,ASMPT
524.HK,GW TERROIR
525.HK,GUANGSHEN RAIL
526.HK,LISI GP HOLD
527.HK,RUIFENG RENEW
528.HK,KINGDOM HOLDING
529.HK,SIS INTL
53.HK,GUOCO GROUP
532.HK,WKK INTL HOLD
533.HK,GOLDLION HOLD
535.HK,GEMDALE PPT
536.HK,TRADELINK
538.HK,AJISEN CHINA
540.HK,SPEEDY GLOBAL
542.HK,CN CULTURAL T A
543.HK,PACIFIC ONLINE
544.HK,DAIDO GROUP
546.HK,FUFENG GROUP
547.HK,DIGITAL DOMAIN
548.HK,SHENZHENEXPRESS
55.HK,NEWAY GROUP
550.HK,KINGKEY INT CUL
551.HK,YUE YUEN IND
552.HK,CHINACOMSERVICE
553.HK,NANJING PANDA
554.HK,HANS GP HLDGS
556.HK,PAN ASIA ENVIRO
557.HK,TIANYUAN HEALTH
558.HK,LK TECH
559.HK,DETAI NEWENERGY
560.HK,CHU KONG SHIP
563.HK,SH IND URBAN
564.HK,ZMJ
565.HK,ART GROUP HOLD
567.HK,DAISHOMICROLINE
568.HK,SHANDONG MOLONG
57.HK,CHEN HSONG HOLD
570.HK,TRAD CHI MED
571.HK,ESUN HOLDINGS
572.HK,FW HOLDINGS
573.HK,TAO HEUNG HLDGS
574.HK,PASHUN INTL
575.HK,REGENT PACIFIC
576.HK,ZHEJIANGEXPRESS
579.HK,JNCEC
58.HK,SUNWAY INTL
580.HK,SUNKING TECH
581.HK,CHINA ORIENTAL
582.HK,SHIN HWA WORLD
583.HK,GWPA HOLDINGS
585.HK,IMAGI INTL
586.HK,CONCH VENTURE
587.HK,CONCH ENVIRO
588.HK,BEIJING N STAR
59.HK,SKYFAME REALTY
590.HK,LUK FOOK HOLD
591.HK,C HIGHPRECISION
593.HK,DREAMEAST
595.HK,AV CONCEPT HOLD
596.HK,INSPUR DIGI ENT
598.HK,SINOTRANS
599.HK,E BON HOLDINGS
6.HK,POWER ASSETS
60.HK,HK FOOD INV
601.HK,REMT
602.HK,JIAHUA STORES H
603.HK,CHINA OIL GAS
6030.HK,CITIC SEC
6033.HK,TELECOM DIGIT
6036.HK,APEX ACE HLDG
6038.HK,G M HLDGS
604.HK,SHENZHEN INVEST
6049.HK,POLY PPT SER
605.HK,C FIN SERVICES
6055.HK,CTIHK
6058.HK,CISI FIN
606.HK,SCE CM
6060.HK,ZA ONLINE
6063.HK,LOTUS HORIZON
6066.HK,CSC
6068.HK,WISDOM EDU INTL
6069.HK,SY HOLDINGS
607.HK,FULLSHARE
6078.HK,HYGEIA HEALTH
608.HK,HIGH FASHION
6080.HK,WING CHI HLDGS
6083.HK,WORLD LINK LOG
6086.HK,FANGZHOU JIANKE
6088.HK,FIT HON TENG
609.HK,TIANDE CHEMICAL
6093.HK,HEVOL SERVICES
6098.HK,CG SERVICES
6099.HK,CMSC
61.HK,GREEN LEADER
610.HK,WAI KEE HOLD
6100.HK,TONGDAO LIEPIN
6108.HK,NEW RAY MEDIC
611.HK,CNE TECH CORP
6110.HK,TOPSPORTS
6113.HK,UTS MARKETING
6117.HK,RIZHAO PORT JR
6118.HK,AUSTAR
6119.HK,TIAN YUAN GP
612.HK,DING YI FENG
6122.HK,JIUTAI RCB
6123.HK,YTO INTL EXP
6127.HK,JOINN
6128.HK,GRAPHEX GP NEW
613.HK,PLANETREE INTL
6133.HK,VITAL INNO
6136.HK,KANGDA ENV
6138.HK,HARBIN BANK
6158.HK,ZHENRO PPT
616.HK,EMINENCE ENT
6160.HK,BEIGENE
6162.HK,TR INTERIORS
6163.HK,GEMILANG INTL
6169.HK,YUHUA EDU
617.HK,PALIBURG HOLD
6178.HK,EB SECURITIES
618.HK,PKU RESOURCES
6181.HK,LAOPU GOLD
6182.HK,TWINTEK
6185.HK,CANSINOBIO
6186.HK,CHINA FEIHE
6188.HK,BJ DIGITAL
6189.HK,ADWAY
619.HK,SOUTH CHINA FIN
6190.HK,BANKOFJIUJIANG
6193.HK,TAILAM TECHCON
6196.HK,BANKOFZHENGZHOU
6198.HK,QINGDAO PORT
6199.HK,BANK OF GUIZHOU
62.HK,TRANSPORT INTL
620.HK,DTXS SILK ROAD
621.HK,TAUNG GOLD
622.HK,OSHIDORI
623.HK,SINOMEDIA
626.HK,PUBLIC FIN HOLD
627.HK,JAPAN KYOSEI
628.HK,TONGTONG AI SOC
629.HK,YUE DA INTL
63.HK,CHI ASIA VALLEY
630.HK,AMCO UNITED
631.HK,SANY INTL
632.HK,CHK OIL
635.HK,PLAYMATES
636.HK,KERRY LOG NET
637.HK,LEE KEE
639.HK,SHOUGANG RES
64.HK,GET NICE
640.HK,INFINITY DEV
641.HK,CHTC FONGS INT
643.HK,CARRY WEALTH
645.HK,ARES ASIA
646.HK,CHINA ENV TEC
65.HK,GRAND OCEAN AR
650.HK,PRODUCTIVE TECH
653.HK,BONJOUR HOLD
655.HK,HK CHINESE LTD
656.HK,FOSUN INTL
657.HK,G VISION INTL
658.HK,C TRANSMISSION
659.HK,CTF SERVICES
66.HK,MTR CORPORATION
660.HK,WAI CHUN BIOTEC
6601.HK,CHEERWIN GP
6606.HK,NH HEALTH
6608.HK,BAIRONG W
6609.HK,HEARTCARE B
661.HK,CDAYENONFER
6610.HK,FLOWING CLOUD
6611.HK,SANXUN GROUP
6616.HK,GLOBAL NEW MAT
6618.HK,JD HEALTH
662.HK,ASIA FINANCIAL
6622.HK,ZHAOKE OPHTH B
6623.HK,LUFAX
6626.HK,YUEXIU SERVICES
6628.HK,TRANSCENTA B
663.HK,KING STONE ENGY
6633.HK,QINGCI GAMES
6638.HK,OCFT
6639.HK,ARRAIL GROUP
6655.HK,HUAXIN CEMENT
6657.HK,BAIWANG CO
666.HK,REPT BATTERO
6660.HK,AIM VACCINE
6661.HK,HUZHOU GAS
6663.HK,IWS GROUP
6666.HK,EVERG SERVICES
6667.HK,MEGA GENOMICS
6668.HK,E STAR CM
6669.HK,ACOTEC B
667.HK,CHINA EAST EDU
6676.HK,ZG GROUP W
6677.HK,SINO OCEAN SERV
6680.HK,JLMAG
6681.HK,BRAINAURORA B
6682.HK,FOURTH PARADIGM
6683.HK,STARPLUS LEGEND
6686.HK,NOAH HOLDINGS
6689.HK,HONGJIU FRUIT
669.HK,TECHTRONIC IND
6690.HK,HAIER SMARTHOME
6693.HK,CHIFENG GOLD
6696.HK,MANY IDEA CLOUD
6698.HK,STAR CM
6699.HK,ANGELALIGN
670.HK,CHINA EAST AIR
672.HK,ZHONGAN GROUP
673.HK,CHINA HEALTH
674.HK,CHINA TANGSHANG
675.HK,K P INTL
676.HK,PEGASUS INTL
677.HK,GOLDEN RES DEV
679.HK,ASIA TELE NET
6805.HK,KIMOU ENVIRON
6806.HK,SWHY
6808.HK,SUNART RETAIL
681.HK,CHI PEOPLE HOLD
6811.HK,TAI HING GROUP
6812.HK,WINSON HLDGS HK
6816.HK,PROSPER CONS
6818.HK,CEB BANK
682.HK,CHAODA MODERN
6820.HK,FRIENDTIMES
6821.HK,ASYMCHEM
6822.HK,KINGS FLAIR
6823.HK,HKT SS
6826.HK,HAOHAI BIOTEC
6828.HK,BG BLUE SKY
6829.HK,DRAGON RISE GP
683.HK,KERRY PPT
6830.HK,HUAZHONG IN V
6833.HK,SINCO PHARMA
6838.HK,WINOX
6839.HK,YUNNAN WATER
684.HK,ALLAN INTL
685.HK,MEDIA CHINESE
6855.HK,ASCENTAGE B
6858.HK,HONMAGOLF
686.HK,BJ ENERGY INTL
6860.HK,FINGERTANGO
6862.HK,HAIDILAO
6865.HK,FLAT GLASS
6866.HK,ZUOLI M FIN
6868.HK,TENFU
6869.HK,YOFC
687.HK,TYSAN HOLDINGS
6877.HK,CLSA PREMIUM
6878.HK,DIFFER GP AUTO
688.HK,CHINA OVERSEAS
6881.HK,CGS
6882.HK,EGL HOLDINGS
6885.HK,JINMA ENERGY
6886.HK,HTSC
6888.HK,FREETECH
6889.HK,DYNAM JAPAN
689.HK,EPI HOLD NEW
6890.HK,KANGLI INT HLDG
6893.HK,HINSANG GROUP
6896.HK,GOLDEN THROAT
6898.HK,CHINA ALUMCAN
6899.HK,OURGAME
69.HK,SHANGRI LA ASIA
690.HK,UNI BIO GROUP
6900.HK,SUNKWAN PPT
6908.HK,HG SEMI
6909.HK,BETTERLIFE HLDG
691.HK,SHANSHUI CEMENT
6911.HK,LANCANG TEA
6913.HK,SCVE GROUP
6918.HK,KIDZTECH
6919.HK,RENRUI HR
6922.HK,CRYOFOCUS B
6928.HK,TOMO HOLDINGS
6929.HK,ORBUSNEICH
693.HK,TAN CHONG INTL
6933.HK,SINO ENTERTAIN
6936.HK,SF HOLDING
6939.HK,MEGAIN
694.HK,BEIJING AIRPORT
695.HK,DONGWU CEMENT
6955.HK,BOAN BIOTECH
6958.HK,ZHENRO SERVICES
6959.HK,CHANGJIU HLDGS
696.HK,TRAVELSKY TECH
6963.HK,SUNSHINE INS
6966.HK,C WAN TONG YUAN
6968.HK,GANGLONG CHINA
6969.HK,SMOORE INTL
697.HK,SHOUCHENG
6978.HK,IMMUNOTECH B
6979.HK,ZJLD
698.HK,TONGDA GROUP
6988.HK,JOY SPREADER
6989.HK,EXCELLENCE CM
6990.HK,SKB BIO B
6993.HK,BLUE MOON GROUP
6996.HK,ANTENGENE B
6998.HK,GENOR B
6999.HK,LEADING HLDGS
7.HK,WISDOM WEALTH
70.HK,RICH GOLDMAN
700.HK,TENCENT
701.HK,CNT GROUP
702.HK,SINO OIL GAS
703.HK,FUTURE BRIGHT
704.HK,HUSCOKE HLDGS
707.HK,ATV HOLDINGS
708.HK,EVERG VEHICLE
709.HK,GIORDANO INTL
71.HK,MIRAMAR HOTEL
710.HK,BOE VARITRONIX
711.HK,ASIA ALLIED INF
712.HK,COMTEC SOLAR
713.HK,WORLD HOUSEWARE
715.HK,CHINA OCEANWIDE
716.HK,SINGAMAS CONT
717.HK,EMPEROR CAPITAL
718.HK,TAI UNITED HOLD
719.HK,SHANDONG XINHUA
72.HK,META MEDIA
720.HK,AUTO ITALIA
7200.HK,FL2 CSOP HSI
721.HK,C FIN INT INV
722.HK,UMP
7226.HK,XL2CSOPHSTECH
723.HK,RELIANCE GLO HL
7232.HK,FL2FBFTTAIWAN
7233.HK,XL2CSOPCSI300
7234.HK,XL2 BOS CHINEXT
724.HK,RUIXIN INTL
725.HK,PERENNIAL INTL
726.HK,DIT GROUP
7261.HK,FL2CAMNDQ100
7262.HK,FL2 CSOP NIKKEI
7266.HK,FL2CSOPNASDAQ
727.HK,CROWNICORP NEW
728.HK,CHINA TELECOM
7288.HK,FL2 CSOP HSCEI
7299.HK,FL2CSOPGOLD
73.HK,ASIAN CITRUS
730.HK,CAPITAL IND FIN
7300.HK,FI CSOP HSI
731.HK,C D NEWIN
7311.HK,XI2CSOPCOIN
732.HK,TRULY INTL
733.HK,HOPEFLUENT
7332.HK,FIFBFTTAIWAN
736.HK,CHINA PPT INV
7366.HK,XI2CSOPTSLA
737.HK,BAY AREA DEV
7376.HK,FI CSOP BTC
738.HK,LE SAUNDA
7388.HK,XI2CSOPNVDA
7399.HK,XI2CSOPMSTR
743.HK,ASIA CEMENT CH
745.HK,CN CULTURE GP
746.HK,L M CHEMICAL
747.HK,SHENYANG PUBLIC
75.HK,YT REALTY
750.HK,SFSY ENERGY
7500.HK,FI2 CSOP HSI
751.HK,SKYWORTH GROUP
7515.HK,FI2 CSOP NIKKEI
752.HK,PICO FAR EAST
7522.HK,FI2CAMNDQ100
753.HK,AIR CHINA
754.HK,HOPSON DEV HOLD
755.HK,DEVGREAT
7552.HK,XI2CSOPHSTECH
756.HK,SUMMI
7568.HK,FI2CSOPNASDAQ
757.HK,SOLARGIGA
7588.HK,FI2 CSOP HSCEI
759.HK,CEC INTL HOLD
76.HK,ELATE HOLDINGS
760.HK,TALENT PPT GP
762.HK,CHINA UNICOM
763.HK,ZTE
764.HK,ETERNITY INV
765.HK,PERFECTECH INTL
767.HK,ZHONG JI LS
768.HK,UBA INVESTMENTS
769.HK,CHINA RAREEARTH
77.HK,AMS TRANSPORT
770.HK,SHANGHAI GROWTH
771.HK,AUTOMATED SYS
7711.HK,XL2CSOPCOIN
772.HK,CHINA LIT
775.HK,CKLIFE SCIENCES
776.HK,IMPERIUM TEC GP
7766.HK,XL2CSOPTSLA
777.HK,NETDRAGON
7777.HK,XL2CSOPBRKB
778.HK,FORTUNE REIT
7788.HK,XL2CSOPNVDA
7799.HK,XL2CSOPMSTR
78.HK,REGAL INTL
780.HK,TONGCHENGTRAVEL
7801.HK,INTERRA ACQ Z
7827.HK,VISION DEAL Z
7836.HK,AQUILA ACQ Z
784.HK,LING YUI
7841.HK,HK ACQ Z
7855.HK,TECHSTARACQ Z
788.HK,CHINA TOWER
789.HK,ARTINI HLDG
79.HK,CENTURY LEGEND
794.HK,COME SURE GROUP
797.HK,7ROAD
798.HK,CEOVU
799.HK,IGG
8.HK,PCCW
80.HK,CNEWECON FUND
80011.HK,HANGSENG BANK R
80016.HK,SHK PPT R
80020.HK,SENSETIME WR
80175.HK,GEELY AUTO R
802.HK,CHINA E WALLET
80291.HK,CHINARES BEER R
80388.HK,HKEX R
804.HK,PINESTONE
805.HK,NEW GONOW RV
806.HK,VALUE PARTNERS
807.HK,SIICENVIRONMENT
80700.HK,TENCENT R
80737.HK,BAY AREA DEV R
808.HK,PROSPERITY REIT
80883.HK,CNOOC R
809.HK,GLOBAL BIO CHEM
80941.HK,CHINA MOBILE R
80992.HK,LENOVO GROUP R
81.HK,CH OVS G OCEANS
810.HK,CH CASTSON 81
81024.HK,KUAISHOU WR
811.HK,XINHUA WINSHARE
812.HK,SWSI
81211.HK,BYD COMPANY R
81299.HK,AIA R
813.HK,SHIMAO GROUP
814.HK,JINGKELONG
815.HK,CHI SILVER GP
816.HK,JINMAO SERVICES
817.HK,CHINA JINMAO
818.HK,HI SUN TECH
81810.HK,XIAOMI WR
819.HK,TIANNENG POWER
82.HK,CRAZY SPORTS
820.HK,HSBCDRAGON FUND
82020.HK,ANTA SPORTS R
821.HK,VC HOLDINGS
822.HK,KA SHUI INTL
823.HK,LINK REIT
82318.HK,PING AN R
82331.HK,LI NING R
82333.HK,GWMOTOR R
82388.HK,BOC HONG KONG R
825.HK,NWDS CHINA
826.HK,TIANGONG INTL
827.HK,KO YO GROUP
828.HK,DYNASTY WINES
829.HK,SHENGUAN HLDGS
83.HK,SINO LAND
830.HK,CSC DEVELOPMENT
831.HK,CR ASIA
832.HK,CENTRAL CHINA
833.HK,ALLTRONICS
834.HK,KANGDA FOOD
83403.HK,CAM HSI ESG R
83404.HK,CAM MSCIINDIA R
83437.HK,BOS CSOE HIDV R
83455.HK,INVESCO QQQ R
836.HK,CHINA RES POWER
83690.HK,MEITUAN WR
837.HK,CARPENTER TAN
838.HK,EVA HOLDINGS
839.HK,CHINA EDU GROUP
84.HK,STELUX HOLDINGS
840.HK,TIANYE WATER
841.HK,CASSAVA RES
842.HK,LEOCH INTL
844.HK,GREATIME INTL
845.HK,GLORIOUS PPT H
846.HK,MINGFA GROUP
848.HK,MAOYE INTL
85.HK,CE HUADA TECH
851.HK,SHENG YUAN HLDG
852.HK,STRONG PETRO
853.HK,MICROPORT
854.HK,WILLAS ARRAY
855.HK,CHINA WATER
856.HK,VSTECS
857.HK,PETROCHINA
858.HK,EXTRAWELL PHAR
859.HK,ZHONGCHANG INTL
86.HK,SUN HUNG KAI CO
860.HK,APOLLO FMG
861.HK,DC HOLDINGS
862.HK,VISION VALUES
863.HK,OSL GROUP
864.HK,WING LEE PPT
865.HK,JIANDE INTL
866.HK,CHINA QINFA
867.HK,CMS
868.HK,XINYI GLASS
869.HK,PLAYMATES TOYS
87.HK,SWIRE PACIFIC B
871.HK,CH DREDG ENV
873.HK,SHIMAO SERVICES
874.HK,BAIYUNSHAN PH
875.HK,CONGYU INTE AGR
876.HK,KAISA HEALTH
878.HK,SOUNDWILL HOLD
88.HK,TAI CHEUNG HOLD
880.HK,SJM HOLDINGS
881.HK,ZHONGSHENG HLDG
882.HK,TIANJIN DEV
883.HK,CNOOC
884.HK,CIFI HOLD GP
887.HK,EMPEROR WATCH J
888.HK,BISON FINANCE
889.HK,DATRONIX HOLD
89.HK,TAI SANG LAND
893.HK,CHINAVTM MINING
894.HK,MAN YUE TECH
895.HK,DONGJIANG ENV
896.HK,HANISON
897.HK,WAI YUEN TONG
898.HK,MULTIFIELD INTL
899.HK,ZHONG JIA GX
9.HK,KEYNE LTD
90.HK,PUXING ENERGY
900.HK,AEON CREDIT
9001.HK,PP CNUSDPROP U
9008.HK,BOS HSK BTC U
9009.HK,BOS HSK ETH U
9010.HK,ISHARES AXJ U
9011.HK,A ICBCCICCUSD U
902.HK,HUANENG POWER
9040.HK,GX MSCI CHINA U
9042.HK,CAM BTC U
9046.HK,CAM ETH U
9047.HK,F SSIFIRONORE U
905.HK,WALNUT CAP
906.HK,COFCO PACKAGING
9067.HK,ISHARESHSTECH U
9069.HK,CAM HSBIOTECH U
907.HK,ELEGANCEOPTICAL
9070.HK,PING AN HKDIV U
9072.HK,NIKKOAM INET U
9074.HK,ISHARESMSCITW U
9075.HK,GX ASUSD BOND U
9077.HK,PREMIA UST U
9078.HK,PREMIA UST A U
9081.HK,VALUEGOLD ETF U
9084.HK,A GX INDIA U
9086.HK,CAM NASDAQ100 U
9088.HK,CAM HS TECH U
909.HK,MING YUAN CLOUD
9091.HK,A NIKKOAMMETA U
9096.HK,A CSOP USD MM U
910.HK,CHINA SANDI
9104.HK,A GX EM ASIA U
9107.HK,BOS 20 UST A U
911.HK,QIANHAI HEALTH
9115.HK,ISHARESHSI U
912.HK,SUGA INTL
9125.HK,ISHARESSDCPBB U
913.HK,HARBOUR DIGITAL
914.HK,CONCH CEMENT
9141.HK,CAM ASIA IGB U
9146.HK,CAM 20 UST U
915.HK,DAOHE GLOBAL
9151.HK,PREMIA STAR50 U
9156.HK,BOS 20 UST U
9159.HK,PREMIA TW50A U
916.HK,CHINA LONGYUAN
9167.HK,ICBCCSOPCHINA U
917.HK,QUNABOX GROUP
9173.HK,PP CN NEWECON U
9177.HK,PP CGBOND HDG U
9179.HK,HGI ETH U
918.HK,MAJESTIC DRAGON
9181.HK,PREMIAASIATEC U
9187.HK,SAMSUNG REITS U
919.HK,MODERNHEALTHTEC
9191.HK,GX CN SEMICON U
9195.HK,HS S P500 U
9196.HK,A BOS USD MM U
92.HK,CHAMPION TECH
921.HK,HISENSE HA
922.HK,ANXIANYUAN CH
923.HK,IWS
924.HK,KHOON GROUP
925.HK,BJ PROPERTIES
926.HK,BESUNYEN
927.HK,FUJIKON IND
928.HK,KING INTL INV
929.HK,IPE GROUP
93.HK,ZERO FINTECH
931.HK,CHINA HK POWER
9311.HK,XI2CSOPCOIN U
932.HK,SHUNTEN INTL
933.HK,VIVA GOODS
934.HK,SINOPEC KANTONS
936.HK,KAISA CAPITAL
9366.HK,XI2CSOPTSLA U
938.HK,MAN SANG INTL
9388.HK,XI2CSOPNVDA U
939.HK,CCB
9399.HK,XI2CSOPMSTR U
94.HK,GREENHEART GP
9403.HK,CAM HSI ESG U
9404.HK,CAM MSCIINDIA U
941.HK,CHINA MOBILE
9411.HK,PP ASIA IGUSD U
943.HK,ZHONGZHENG INTL
9437.HK,BOS CSOE HIDV U
9439.HK,HGI BTC U
9440.HK,GX 0 3M UST U
9446.HK,CAM 20 UST A U
945.HK,MANULIFE S
9450.HK,GX 3 5Y UST U
9455.HK,INVESCO QQQ U
947.HK,MOBI DEV
948.HK,ALPHA PRO HLDGS
95.HK,LVGEM CHINA
950.HK,LEES PHARM
951.HK,CHAOWEI POWER
952.HK,QUAM PLUS FIN
953.HK,SHAW BROTHERS
954.HK,CHANGMAO BIO
956.HK,CHINA SUNTIEN
959.HK,CENTURY ENT INT
96.HK,YUSEI
960.HK,LONGFOR GROUP
9600.HK,NEWLINK TECH
9606.HK,DUALITYBIO B
9608.HK,SUNDY SERVICE
9616.HK,NEUTECH GROUP
9618.HK,JD SW
9626.HK,BILIBILI W
9633.HK,NONGFU SPRING
9636.HK,JF SMARTINVEST
